time,value
2024-09-07T18:24:15.171813976Z,-1.292868971824646
2024-09-07T18:24:23.689082471Z,-1.2761094570159912
2024-09-07T18:24:23.690368395Z,-1.3000515699386597
2024-09-07T18:24:23.692123861Z,-1.3048399686813354
2024-09-07T18:24:25.636432171Z,-1.2641384601593018
2024-09-07T18:24:25.638072089Z,-1.2832920551300049
2024-09-07T18:24:25.639815999Z,-1.2473790645599365
2024-09-07T18:24:25.642188323Z,-1.290474772453308
2024-09-07T18:24:25.64394454Z,-1.2737152576446533
2024-09-07T18:24:27.149506692Z,-1.2952631711959839
2024-09-07T18:24:27.151062934Z,-1.2713210582733154
2024-09-07T18:24:27.152894925Z,-1.3096283674240112
2024-09-07T18:24:27.388175238Z,-1.1899182796478271
2024-09-07T18:24:27.38960064Z,-1.1994950771331787
2024-09-07T18:24:27.39128901Z,-1.2976573705673218
2024-09-07T18:24:27.392785963Z,-1.2066776752471924
2024-09-07T18:24:28.218575647Z,-1.3718775510787964
2024-09-07T18:24:28.220252803Z,-1.2306196689605713
2024-09-07T18:24:30.814579636Z,-1.2186486721038818
2024-09-07T18:24:45.1627334Z,-1.3479355573654175
2024-09-07T18:24:45.164333824Z,-1.2856862545013428
2024-09-07T18:24:45.166127938Z,-1.2737152576446533
2024-09-07T18:24:45.167726213Z,-1.2856862545013428
2024-09-07T18:24:45.169088429Z,-1.290474772453308
2024-09-07T18:24:45.170346983Z,-1.3072341680526733
2024-09-07T18:24:45.171535747Z,-1.3503297567367554
2024-09-07T18:24:45.5840294Z,-1.2665326595306396
2024-09-07T18:24:48.171742439Z,-1.2689268589019775
2024-09-07T18:24:48.173331331Z,-1.2737152576446533
2024-09-07T18:24:48.174792215Z,-1.2880805730819702
2024-09-07T18:24:49.060951254Z,-1.280897855758667
2024-09-07T18:24:49.062501893Z,-1.2545616626739502
2024-09-07T18:25:05.205402094Z,-1.290474772453308
2024-09-07T18:25:05.206983929Z,-1.256955862045288
2024-09-07T18:25:05.209066863Z,-1.2330138683319092
2024-09-07T18:25:05.2105562Z,-1.2497732639312744
2024-09-07T18:25:05.211988914Z,-1.3000515699386597
2024-09-07T18:25:15.215358966Z,-1.1994950771331787
2024-09-07T18:25:15.217161018Z,-1.2066776752471924
2024-09-07T18:25:15.218669753Z,-1.2282254695892334
2024-09-07T18:25:15.220374467Z,-1.3886369466781616
2024-09-07T18:25:15.222884503Z,-1.3096283674240112
2024-09-07T18:25:16.128104361Z,-1.2449848651885986
2024-09-07T18:25:16.129738268Z,-1.2856862545013428
2024-09-07T18:25:16.131257594Z,-1.3024457693099976
2024-09-07T18:25:16.13270432Z,-1.2856862545013428
2024-09-07T18:25:19.718549509Z,-0.7086837291717529
2024-09-07T18:25:19.720573527Z,-0.9672574996948242
2024-09-07T18:25:19.722500029Z,-0.8619126081466675
2024-09-07T18:25:19.743740412Z,-0.8786720037460327
2024-09-07T18:25:19.776248355Z,-0.8667010068893433
2024-09-07T18:25:19.779532177Z,-0.933738648891449
2024-09-07T18:25:20.134668957Z,-0.8858546018600464
2024-09-07T18:25:21.970617479Z,-0.8379706144332886
2024-09-07T18:25:21.972316921Z,-0.9720458984375
2024-09-07T18:25:21.974390752Z,-0.8667010068893433
2024-09-07T18:25:22.25477968Z,-0.933738648891449
2024-09-07T18:25:22.786974865Z,-0.912190854549408
2024-09-07T18:25:23.258959996Z,-0.9097966551780701
2024-09-07T18:25:23.774906759Z,-0.9289502501487732
2024-09-07T18:25:24.29854928Z,-0.9313444495201111
2024-09-07T18:25:24.860925827Z,-0.9026140570640564
2024-09-07T18:25:25.332234011Z,-0.9217676520347595
2024-09-07T18:25:25.899884691Z,-1.0055646896362305
2024-09-07T18:25:26.387320392Z,-1.0007762908935547
2024-09-07T18:25:26.902094154Z,-0.9457096457481384
2024-09-07T18:25:27.423820507Z,-1.0319008827209473
